superkingdom	phylum	class	order	family	genus	species
33072	Bacteria	Cyanobacteria	Gloeobacteria	Gloeobacterales	Gloeobacteraceae	Gloeobacter	Gloeobacter violaceus
1763363	Bacteria	Cyanobacteria	NA	NA	NA	NA	cyanobacterium endosymbiont of Rhopalodia gibberula
102115	Bacteria	Cyanobacteria	NA	Pleurocapsales	Dermocarpellaceae	Stanieria	NA
54308	Bacteria	Cyanobacteria	NA	Pleurocapsales	Hyellaceae	Pleurocapsa	Pleurocapsa minor
186801	Bacteria	Firmicutes	Clostridia	NA	NA	NA	NA
186814	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	NA	NA
911092	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Caldanaerobacter	Caldanaerobacter subterraneus
227388	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermodesulfobiaceae	Thermodesulfobium	NA
44000	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacterales Family III. Incertae Sedis	Caldicellulosiruptor	NA
1222016	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacterales Family III. Incertae Sedis	Caldicellulosiruptor	Caldicellulosiruptor changbaiensis
31984	Bacteria	Firmicutes	Clostridia	Eubacteriales	Heliobacteriaceae	NA	NA
208479	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Enterocloster	Enterocloster bolteae
649756	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Anaerostipes	Anaerostipes hadrus
1565	Bacteria	Firmicutes	Clostridia	Eubacteriales	Peptococcaceae	Desulfotomaculum	Desulfotomaculum nigrificans
142877	Bacteria	Firmicutes	Clostridia	Eubacteriales	Peptococcaceae	Desulfitobacterium	Desulfitobacterium metallireducens
2293317	Bacteria	Firmicutes	Clostridia	Eubacteriales	Syntrophomonadaceae	Candidatus Syntrophocurvum	Candidatus Syntrophocurvum alkaliphilum
2764325	Bacteria	Firmicutes	Clostridia	Eubacteriales	Eubacteriaceae	Eubacterium	Eubacterium sp. NSJ-61
216572	Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	NA	NA
972	Bacteria	Firmicutes	Clostridia	Halanaerobiales	Halanaerobiaceae	NA	NA
53434	Bacteria	Firmicutes	Clostridia	Halanaerobiales	Halobacteroidaceae	NA	NA
42422	Bacteria	Firmicutes	Clostridia	Halanaerobiales	Halobacteroidaceae	Halobacteroides	Halobacteroides halobius
28187	Bacteria	Firmicutes	Clostridia	Halanaerobiales	Halobacteroidaceae	Acetohalobium	Acetohalobium arabaticum
291990	Bacteria	Firmicutes	Clostridia	Thermosediminibacterales	Thermosediminibacteraceae	Thermosediminibacter	Thermosediminibacter oceani
91061	Bacteria	Firmicutes	Bacilli	NA	NA	NA	NA
1385	Bacteria	Firmicutes	Bacilli	Bacillales	NA	NA	NA
186817	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	NA	NA
86661	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	NA
1396	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
1428	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus thuringiensis
1392	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus anthracis
155322	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus toyonensis
653388	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	NA
260554	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus halotolerans
2093834	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. ZY-1-1
2709784	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. KH172YL63
632773	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus beveridgei
1670641	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Cytobacillus	Cytobacillus ciccensis
2590012	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Lysinibacillus	Lysinibacillus sp. FJAT-51161
33940	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Geobacillus	Geobacillus thermodenitrificans
1505648	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Geobacillus	NA
33938	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Geobacillus	Geobacillus thermocatenulatus
198467	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Anoxybacillus	Anoxybacillus gonensis
2518176	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Lentibacillus	Lentibacillus sp. CBA3610
33936	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Aeribacillus	Aeribacillus pallidus
421767	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Peribacillus	Peribacillus butanolivorans
665099	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Cytobacillus	Cytobacillus oceanisediminis
279826	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Mesobacillus	Mesobacillus foraminis
79885	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Alkalihalobacillus	Alkalihalobacillus pseudofirmus
186824	Bacteria	Firmicutes	Bacilli	Bacillales	Thermoactinomycetaceae	NA	NA
54913	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Brevibacillus	Brevibacillus formosus
54911	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Brevibacillus	Brevibacillus choshinensis
