OTU	AUGPCR_barcode66	JunPCR_barcode66	L0A1_barcode13	L0A2_barcode29	L0A3_barcode45	L0A4_barcode61	L0B1_barcode14	L0B2_barcode30	L0B3_barcode46	L0B4_barcode62	L0C1_barcode15	L0C2_barcode31	L0C3_barcode47	L0C4_barcode63	L0D1_barcode16	L0D2_barcode32	L0D3_barcode48	L0D4_barcode64	L1A1_barcode13	L1A2_barcode29	L1A3_barcode45	L1A4_barcode61	L1B1_barcode14	L1B2_barcode30	L1B3_barcode46	L1B4_barcode62	L1C1_barcode15	L1C2_barcode31	L1C3_barcode47	L1C4_barcode63	L1D1_barcode16	L1D2_barcode32	L1D3_barcode48	L1D4_barcode64	L2A1_barcode13	L2A2_barcode29	L2A3_barcode45	L2A4_barcode61	L2B1_barcode14	L2B2_barcode30	L2B3_barcode46	L2B4_barcode62	L2C1_barcode15	L2C2_barcode31	L2C3_barcode47	L2C4_barcode63	L2D1_barcode16	L2D2_barcode32	L2D3_barcode48	L2D4_barcode64	OctPCR_barcode66	R0A1_barcode09	R0A2_barcode25	R0A3_barcode41	R0A4_barcode57	R0B1_barcode10	R0B2_barcode26	R0B3_barcode42	R0B4_barcode58	R0C1_barcode11	R0C2_barcode27	R0C3_barcode43	R0C4_barcode59	R0D1_barcode12	R0D2_barcode28	R0D3_barcode44	R0D4_barcode60	R1A1_barcode09	R1A2_barcode25	R1A3_barcode41	R1A4_barcode57	R1B1_barcode10	R1B2_barcode26	R1B3_barcode42	R1B4_barcode58	R1C1_barcode11	R1C2_barcode27	R1C3_barcode43	R1C4_barcode59	R1D1_barcode12	R1D2_barcode28	R1D3_barcode44	R1D4_barcode60	R2A1_barcode09	R2A2_barcode25	R2A3_barcode41	R2A4_barcode57	R2B1_barcode10	R2B2_barcode26	R2B3_barcode42	R2B4_barcode58	R2C1_barcode11	R2C2_barcode27	R2C3_barcode43	R2C4_barcode59	R2D1_barcode12	R2D2_barcode28	R2D3_barcode44	R2D4_barcode60
OTU218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
OTU219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU220	0	0	1	0	0	0	0	0	0	0	6	0	0	0	0	2	6	1	1	2	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	3	1	0	0	3	1	1	1	2	0	2	1	1	0	0	1	1	0	1	5	0	0	0	0	0	0	0	28	0	0	1	0	0	0	0	4	0	0	1	0	0	1	1	1	0	1	13	5	6	4	13	10	54	3	24	16	6	6	6	13	7	6
OTU221	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU222	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
OTU225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	1	0	0	0
OTU227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
